date,crop_name,region,district,market_arrival,price_per_quintal,weather_temp,rainfall_mm,humidity_pct,season,festival_flag,holiday_flag,fuel_price,transport_cost,crop_yield,shelf_life_days,demand_estimate,supply_gap,spoilage_risk,crop
2025-03-02,Wheat,Karnataka,Bengaluru Urban,174.25,8042.49,20.3,23.4,62.9,Summer,0,1,100.66,407.2,5000,365,1223,-1048.75,0,Vegetables
2024-10-29,Turmeric,Telangana,Khammam,8.72,32507.93,41.5,183.0,62.8,Kharif,0,0,89.53,342.4,5000,365,1032,-1023.28,0,Maize
2024-06-02,Wheat,Maharashtra,Nashik,82.11,16946.71,29.0,77.4,88.8,Summer,0,1,88.51,403.1,793,365,2585,-2502.89,0,Vegetables
2025-02-15,Rice,Karnataka,Hassan,194.41,7683.32,28.8,32.1,39.9,Rabi,0,0,91.9,409.2,1995,365,1285,-1090.59,0,Mustard
2025-04-08,Potato,Telangana,Karimnagar,136.55,9059.97,37.5,15.5,35.2,Summer,0,0,108.48,476.9,5000,60,1212,-1075.45,0,Vegetables
2025-06-26,Onion,Maharashtra,Solapur,28.74,19713.38,32.5,181.2,70.6,Summer,0,0,88.24,410.3,5000,30,1229,-1200.26,0,Cucumber
2024-06-01,Cabbage,Karnataka,Tumakuru,181.56,7672.34,41.3,123.2,80.3,Summer,0,0,97.87,388.9,5000,7,1119,-937.44,1,Watermelon
2024-06-10,Rice,Karnataka,Mysuru,224.17,6417.58,29.3,109.0,57.3,Summer,0,0,100.09,410.1,2794,365,1077,-852.83,0,Cucumber
2024-10-01,Tomato,Telangana,Nizamabad,272.19,6468.11,30.0,157.1,79.7,Kharif,0,0,90.22,343.3,5000,5,1197,-924.81,0,Cotton
2024-07-11,Rice,Tamil Nadu,Chennai,238.93,6637.12,29.2,197.6,70.0,Kharif,0,0,96.15,429.7,2820,365,1105,-866.0699999999999,0,Cotton
2025-06-25,Brinjal,Telangana,Warangal,157.58,8432.49,38.9,120.5,72.0,Summer,0,0,107.94,407.8,5000,5,1243,-1085.42,1,Cucumber
2025-05-04,Maize,Maharashtra,Nashik,237.73,8006.95,42.0,11.7,53.9,Summer,0,1,96.25,382.6,2528,180,1631,-1393.27,0,Vegetables
2024-10-14,Brinjal,Maharashtra,Aurangabad,209.14,7531.19,29.0,119.7,93.8,Kharif,0,0,99.51,424.9,5000,5,1312,-1102.86,1,Maize
2024-09-17,Brinjal,Telangana,Karimnagar,206.73,6755.44,28.6,70.6,93.0,Kharif,0,0,107.59,437.6,5000,5,1086,-879.27,1,Rice
2024-12-22,Chilli,Tamil Nadu,Tiruppur,318.59,6498.29,25.6,14.1,50.4,Rabi,0,1,89.71,421.7,2072,180,1591,-1272.41,0,Mustard
2025-01-18,Rice,Telangana,Warangal,102.71,10186.76,30.9,32.9,63.2,Rabi,0,0,103.97,439.1,2295,365,1223,-1120.29,0,Mustard
2024-07-03,Chilli,Andhra Pradesh,Nellore,157.59,7450.41,41.8,47.1,78.8,Kharif,0,0,96.38,444.6,2256,180,1007,-849.41,0,Rice
2025-03-11,Potato,Maharashtra,Nashik,219.51,7101.25,20.7,34.6,58.5,Summer,0,0,109.99,494.7,5000,60,1235,-1015.49,0,Watermelon
2024-06-04,Rice,Andhra Pradesh,Guntur,92.95,10333.4,34.3,43.2,93.2,Summer,0,0,101.34,395.3,3385,365,1109,-1016.05,0,Vegetables
2024-07-05,Tomato,Karnataka,Bengaluru Urban,187.52,8077.19,35.3,159.0,75.8,Kharif,0,0,106.75,443.3,5000,5,1372,-1184.48,1,Cotton
2025-02-19,Potato,Karnataka,Tumakuru,12.08,30403.02,21.6,1.2,56.4,Rabi,0,0,101.65,439.1,5000,60,1247,-1234.92,0,Wheat
2024-09-18,Brinjal,Telangana,Nizamabad,337.73,6238.29,33.5,98.7,91.2,Kharif,0,0,95.66,401.1,5000,5,1500,-1162.27,1,Groundnut
2025-03-23,Maize,Telangana,Khammam,264.7,6690.97,30.3,38.0,35.1,Summer,0,1,108.38,443.6,2567,180,1253,-988.3,0,Vegetables
2024-12-26,Potato,Andhra Pradesh,Vijayawada,45.33,14554.75,27.6,9.6,32.7,Rabi,0,0,90.84,349.5,5000,60,1044,-998.67,0,Wheat
2025-05-04,Turmeric,Karnataka,Tumakuru,13.3,33899.26,35.2,6.9,51.9,Summer,0,1,98.43,424.6,2486,365,1691,-1677.7,0,Cucumber
2024-12-28,Maize,Andhra Pradesh,Visakhapatnam,101.21,10914.27,22.1,3.5,34.2,Rabi,0,0,98.14,382.1,3838,180,1318,-1216.79,0,Barley
2025-05-01,Rice,Andhra Pradesh,Kurnool,146.73,9411.67,33.5,16.0,43.8,Summer,0,0,89.8,412.9,1095,365,1426,-1279.27,0,Watermelon
2025-06-08,Chilli,Andhra Pradesh,Guntur,248.05,7257.49,33.2,107.2,79.7,Summer,0,1,96.12,398.0,2315,180,1405,-1156.95,0,Vegetables
2024-09-07,Potato,Maharashtra,Aurangabad,105.83,11867.85,35.2,115.8,59.3,Kharif,0,0,97.84,410.4,5000,60,1603,-1497.17,0,Groundnut
2024-08-11,Turmeric,Telangana,Karimnagar,182.45,7898.64,29.7,180.3,78.7,Kharif,0,1,102.94,451.3,5000,365,1322,-1139.55,0,Maize
2025-01-23,Potato,Andhra Pradesh,Kurnool,157.78,7055.24,27.0,29.8,45.1,Rabi,0,0,90.81,363.4,5000,60,843,-685.22,0,Chickpea
2025-03-09,Rice,Andhra Pradesh,Visakhapatnam,71.28,13147.12,21.2,6.1,38.6,Summer,0,1,91.53,357.1,2012,365,1339,-1267.72,0,Watermelon
2025-03-04,Tomato,Andhra Pradesh,Guntur,81.08,11602.33,24.9,39.3,33.9,Summer,0,0,96.75,445.9,5000,5,1200,-1118.92,0,Cucumber
2024-08-25,Turmeric,Tamil Nadu,Salem,72.21,12568.38,41.0,120.2,77.9,Kharif,0,1,94.16,418.8,5000,365,1235,-1162.79,0,Cotton
2024-09-18,Turmeric,Andhra Pradesh,Guntur,176.32,7992.58,35.1,63.6,59.6,Kharif,0,0,101.43,401.0,5000,365,1195,-1018.68,0,Cotton
2024-12-12,Tomato,Tamil Nadu,Madurai,243.91,6431.3,24.0,5.4,32.2,Rabi,0,0,109.78,433.2,5000,5,1101,-857.09,0,Chickpea
2025-01-19,Wheat,Tamil Nadu,Tiruppur,61.39,13291.62,29.1,23.8,46.5,Rabi,0,1,97.06,391.1,4527,365,1219,-1157.61,0,Barley
2025-05-05,Maize,Telangana,Warangal,48.48,15891.3,39.9,16.8,29.2,Summer,0,0,105.5,407.4,2588,180,1356,-1307.52,0,Vegetables
2024-10-30,Potato,Andhra Pradesh,Nellore,105.74,10533.03,37.3,114.2,69.4,Kharif,0,0,107.3,430.9,5000,60,1293,-1187.26,0,Maize
2025-06-12,Brinjal,Andhra Pradesh,Visakhapatnam,181.88,7833.42,38.5,110.5,64.3,Summer,0,0,107.79,431.8,5000,5,1288,-1106.12,1,Vegetables
2024-11-08,Tomato,Andhra Pradesh,Nellore,162.37,7804.92,21.4,37.6,52.0,Rabi,0,0,95.37,366.3,5000,5,1133,-970.63,0,Barley
2025-01-31,Brinjal,Maharashtra,Nashik,173.12,7850.28,21.8,12.5,38.7,Rabi,0,0,104.37,388.3,5000,5,1182,-1008.88,0,Mustard
2024-06-30,Brinjal,Andhra Pradesh,Guntur,37.9,16681.25,32.8,167.8,59.4,Summer,0,1,106.62,404.6,5000,5,1188,-1150.1,0,Cucumber
2024-07-06,Cabbage,Andhra Pradesh,Visakhapatnam,111.26,11882.49,38.1,135.4,82.8,Kharif,0,0,99.94,392.5,5000,7,1720,-1608.74,1,Cotton
2024-09-29,Turmeric,Andhra Pradesh,Nellore,314.73,6063.69,34.5,190.5,61.1,Kharif,0,1,100.9,418.7,5000,365,1311,-996.27,0,Groundnut
2024-10-05,Cabbage,Maharashtra,Pune,147.18,8198.06,37.8,186.0,83.3,Kharif,0,0,91.36,391.6,5000,7,1108,-960.82,1,Cotton
2025-04-14,Rice,Tamil Nadu,Tiruppur,79.76,13394.17,44.2,18.5,38.5,Summer,1,0,90.49,425.4,1381,365,1566,-1486.24,0,Vegetables
2025-03-17,Brinjal,Karnataka,Mysuru,276.36,6171.26,29.6,0.2,41.7,Summer,0,0,96.76,407.0,5000,5,1184,-907.64,0,Watermelon
2024-09-13,Chilli,Telangana,Karimnagar,141.44,8620.42,38.3,101.4,64.0,Kharif,0,0,97.95,375.5,1936,180,1146,-1004.56,0,Groundnut
2024-12-20,Onion,Karnataka,Tumakuru,242.35,5799.2,27.0,25.3,30.5,Rabi,0,0,102.6,395.1,5000,30,933,-690.65,0,Mustard
2024-11-09,Rice,Andhra Pradesh,Kurnool,280.72,6635.62,21.0,39.9,47.6,Rabi,0,0,101.1,379.9,2169,365,1324,-1043.28,0,Wheat
2025-04-15,Cabbage,Andhra Pradesh,Vijayawada,108.2,12583.83,33.4,9.4,41.9,Summer,0,0,89.45,402.9,5000,7,1819,-1710.8,0,Watermelon
2025-03-03,Potato,Maharashtra,Nagpur,77.23,11086.99,24.8,22.4,35.4,Summer,0,0,92.0,419.6,5000,60,1037,-959.77,0,Watermelon
2024-08-07,Chilli,Andhra Pradesh,Guntur,54.27,12081.49,28.4,48.1,83.6,Kharif,0,0,102.5,381.2,2344,180,908,-853.73,0,Rice
2024-12-07,Wheat,Telangana,Khammam,80.57,11443.31,20.2,4.2,58.0,Rabi,0,0,91.93,400.5,4431,365,1134,-1053.43,0,Chickpea
2025-03-06,Wheat,Maharashtra,Solapur,282.89,5532.15,30.0,15.9,53.4,Summer,0,0,92.51,370.2,4598,365,954,-671.11,0,Cucumber
2024-06-05,Brinjal,Karnataka,Bengaluru Urban,64.74,10916.73,33.9,180.7,87.7,Summer,0,0,95.52,377.7,5000,5,871,-806.26,1,Watermelon
2024-08-08,Wheat,Andhra Pradesh,Vijayawada,18.07,30163.25,35.7,98.5,66.8,Kharif,0,0,108.87,469.8,889,365,1812,-1793.93,0,Maize
2025-06-16,Brinjal,Telangana,Karimnagar,62.43,11363.55,40.5,164.0,72.0,Summer,0,0,88.49,353.9,5000,5,888,-825.57,1,Cucumber
2024-10-23,Cabbage,Telangana,Karimnagar,285.71,6397.83,41.8,114.6,61.9,Kharif,0,0,93.99,350.6,5000,7,1269,-983.29,1,Rice
2024-09-13,Wheat,Maharashtra,Aurangabad,78.46,13628.28,31.8,119.8,81.1,Kharif,0,0,106.25,410.5,1371,365,1600,-1521.54,0,Maize
2024-10-07,Tomato,Andhra Pradesh,Visakhapatnam,261.59,6587.29,35.3,28.5,61.7,Kharif,0,0,104.24,392.3,5000,5,1300,-1038.41,1,Groundnut
2025-01-03,Wheat,Andhra Pradesh,Vijayawada,295.43,5037.89,23.5,14.2,55.2,Rabi,0,0,94.54,401.9,4409,365,940,-644.5699999999999,0,Wheat
2024-11-18,Onion,Karnataka,Bengaluru Rural,152.1,7509.09,20.4,10.5,50.8,Rabi,0,0,89.13,376.6,5000,30,964,-811.9,0,Barley
2025-06-15,Maize,Maharashtra,Aurangabad,295.96,6554.54,29.5,33.5,84.1,Summer,0,1,98.9,428.1,4060,180,1434,-1138.04,0,Cucumber
2025-03-15,Tomato,Andhra Pradesh,Vijayawada,31.75,17535.98,23.3,23.6,42.6,Summer,0,0,90.01,417.6,5000,5,1102,-1070.25,0,Vegetables
2025-05-20,Onion,Maharashtra,Pune,160.97,7376.47,35.2,10.8,51.2,Summer,0,0,104.11,457.0,5000,30,988,-827.03,0,Cucumber
2024-12-07,Cabbage,Maharashtra,Nashik,361.33,5716.71,22.7,39.5,63.0,Rabi,0,0,88.87,394.5,5000,7,1290,-928.67,0,Chickpea
2025-01-07,Onion,Andhra Pradesh,Krishna,213.48,6801.48,31.0,1.4,54.4,Rabi,0,0,94.54,434.1,5000,30,1035,-821.52,0,Wheat
2024-12-04,Tomato,Karnataka,Bengaluru Rural,210.41,7430.62,20.4,23.9,38.1,Rabi,0,0,90.65,344.2,5000,5,1226,-1015.59,0,Barley
2025-05-16,Potato,Andhra Pradesh,Krishna,112.01,10226.25,33.8,6.3,41.2,Summer,0,0,105.4,417.6,5000,60,1242,-1129.99,0,Cucumber
2025-03-14,Turmeric,Maharashtra,Nashik,111.21,10458.28,31.3,32.0,64.9,Summer,1,0,95.72,424.1,5000,365,1395,-1283.79,0,Vegetables
2024-09-30,Onion,Telangana,Khammam,43.98,17139.68,40.2,197.1,85.7,Kharif,0,0,97.19,398.1,5000,30,1422,-1378.02,0,Maize
2024-06-13,Onion,Karnataka,Tumakuru,153.5,9585.96,32.1,62.0,56.7,Summer,0,0,88.39,418.3,5000,30,1470,-1316.5,0,Cucumber
2025-05-09,Potato,Karnataka,Bengaluru Rural,32.57,16619.5,35.6,19.0,48.6,Summer,0,0,89.97,372.5,5000,60,1009,-976.43,0,Cucumber
2025-05-26,Rice,Tamil Nadu,Chennai,39.0,19010.26,40.3,10.3,31.9,Summer,0,0,91.88,361.4,1091,365,1615,-1576.0,0,Cucumber
2025-01-27,Potato,Telangana,Khammam,208.1,6543.5,20.7,38.8,60.9,Rabi,0,0,108.41,489.0,5000,60,1088,-879.9,0,Mustard
2024-11-27,Wheat,Telangana,Warangal,184.93,6812.37,29.8,9.0,37.8,Rabi,0,0,99.81,422.7,4316,365,1022,-837.0699999999999,0,Wheat
2024-06-13,Potato,Tamil Nadu,Madurai,114.2,11079.36,40.4,192.0,89.5,Summer,0,0,105.81,449.3,5000,60,1563,-1448.8,0,Vegetables
2024-10-21,Rice,Karnataka,Mysuru,32.95,18574.95,38.1,109.3,58.2,Kharif,0,0,92.84,406.4,2996,365,1266,-1233.05,0,Groundnut
2025-04-25,Brinjal,Tamil Nadu,Tiruppur,309.11,7748.3,38.8,11.8,49.7,Summer,0,0,95.65,415.8,5000,5,1915,-1605.89,1,Watermelon
2024-11-17,Tomato,Andhra Pradesh,Krishna,143.95,8585.27,30.2,34.7,54.8,Rabi,0,1,106.41,455.2,5000,5,1237,-1093.05,0,Barley
2024-08-31,Cabbage,Karnataka,Bengaluru Urban,233.31,7508.73,30.2,178.6,89.9,Kharif,0,0,88.64,404.6,5000,7,1429,-1195.69,1,Groundnut
2024-07-26,Cabbage,Tamil Nadu,Madurai,306.23,6559.89,39.6,111.3,55.3,Kharif,0,0,94.31,405.6,5000,7,1466,-1159.77,1,Groundnut
2025-06-09,Chilli,Tamil Nadu,Tiruppur,81.51,11307.01,36.9,117.2,86.2,Summer,0,0,90.35,404.7,2210,180,1157,-1075.49,0,Cucumber
2025-02-17,Rice,Tamil Nadu,Tiruppur,171.13,8126.09,21.2,37.5,54.1,Rabi,0,0,89.49,360.3,2033,365,1229,-1057.87,0,Wheat
2024-09-06,Wheat,Andhra Pradesh,Visakhapatnam,4.78,63535.49,32.8,131.8,56.8,Kharif,0,0,107.17,482.7,742,365,2150,-2145.22,0,Groundnut
2025-01-10,Tomato,Maharashtra,Solapur,138.16,8603.17,28.2,17.8,39.6,Rabi,0,0,109.94,443.1,5000,5,1171,-1032.84,0,Chickpea
2025-05-18,Potato,Karnataka,Tumakuru,221.03,8844.81,41.3,4.4,27.5,Summer,0,1,102.97,439.3,5000,60,1847,-1625.97,0,Watermelon
2024-07-06,Chilli,Maharashtra,Nagpur,80.12,12575.66,33.6,69.4,94.4,Kharif,0,0,97.01,440.0,1950,180,1410,-1329.88,0,Groundnut
2025-05-06,Rice,Karnataka,Hassan,165.24,8797.52,43.4,9.5,54.0,Summer,0,0,92.08,420.5,1431,365,1539,-1373.76,0,Vegetables
2024-11-06,Turmeric,Karnataka,Tumakuru,132.34,9201.85,21.6,1.3,62.2,Rabi,0,0,101.57,447.2,3746,365,1242,-1109.66,0,Wheat
2025-05-23,Wheat,Maharashtra,Nashik,72.43,15541.21,35.4,9.8,26.9,Summer,0,0,100.8,397.0,1499,365,1896,-1823.57,0,Watermelon
2024-09-07,Turmeric,Tamil Nadu,Coimbatore,26.03,22023.3,36.4,72.5,82.8,Kharif,0,0,106.92,464.4,4965,365,1410,-1383.97,0,Maize
2025-04-12,Cabbage,Karnataka,Tumakuru,6.15,43996.8,35.9,19.7,29.3,Summer,0,0,98.98,422.1,5000,7,1317,-1310.85,1,Watermelon
2025-03-08,Tomato,Karnataka,Mysuru,57.4,16917.75,21.1,14.0,31.2,Summer,0,0,89.73,369.8,5000,5,1866,-1808.6,0,Watermelon
2024-09-16,Turmeric,Maharashtra,Solapur,220.03,6848.47,39.2,56.0,61.7,Kharif,0,0,90.3,393.3,5000,365,1059,-838.97,0,Cotton
2025-05-02,Chilli,Tamil Nadu,Salem,172.27,7984.93,37.1,16.3,27.4,Summer,0,0,107.69,446.2,1815,180,1203,-1030.73,0,Cucumber
2025-01-13,Potato,Maharashtra,Aurangabad,309.35,6203.18,26.3,29.3,32.9,Rabi,0,0,89.33,354.9,5000,60,1246,-936.65,0,Barley
2025-06-12,Onion,Andhra Pradesh,Krishna,124.01,7671.59,35.8,149.5,64.1,Summer,0,0,109.92,492.5,5000,30,788,-663.99,0,Cucumber
2025-02-19,Cabbage,Karnataka,Bengaluru Urban,118.77,8312.03,20.9,1.2,39.0,Rabi,0,0,98.18,441.8,5000,7,894,-775.23,0,Wheat
2025-06-20,Potato,Karnataka,Bengaluru Rural,199.25,9566.39,41.8,27.2,89.7,Summer,0,0,100.73,412.0,5000,60,2085,-1885.75,0,Watermelon
2024-09-10,Onion,Andhra Pradesh,Vijayawada,172.18,7230.46,40.6,95.9,66.1,Kharif,0,0,101.03,455.7,5000,30,1077,-904.82,0,Rice
2024-10-04,Maize,Maharashtra,Pune,49.05,15041.08,38.0,183.6,62.2,Kharif,0,0,93.23,433.7,4191,180,1204,-1154.95,0,Rice
2025-01-20,Turmeric,Maharashtra,Nashik,140.83,9234.59,23.0,34.8,45.6,Rabi,0,0,99.33,400.0,4194,365,1316,-1175.17,0,Wheat
2025-06-03,Turmeric,Tamil Nadu,Salem,22.41,19371.04,38.8,43.6,93.8,Summer,0,0,97.98,384.2,5000,365,934,-911.59,0,Cucumber
2024-10-03,Onion,Andhra Pradesh,Vijayawada,63.7,14249.72,32.7,169.2,72.2,Kharif,0,0,93.47,402.7,5000,30,1489,-1425.3,0,Maize
2025-01-04,Potato,Telangana,Nizamabad,34.59,15124.07,30.1,32.2,50.5,Rabi,0,0,107.1,413.4,5000,60,887,-852.41,0,Chickpea
2025-01-24,Tomato,Maharashtra,Nashik,154.63,8743.69,26.4,37.5,31.4,Rabi,0,0,90.69,378.1,5000,5,1307,-1152.37,0,Mustard
2024-08-02,Maize,Telangana,Khammam,11.63,28563.21,34.4,112.8,74.6,Kharif,0,0,102.67,391.9,4588,180,1030,-1018.37,0,Maize
2025-05-08,Brinjal,Maharashtra,Solapur,36.07,16679.96,35.4,13.5,54.1,Summer,0,0,90.07,395.8,5000,5,1121,-1084.93,1,Vegetables
2024-11-10,Maize,Maharashtra,Solapur,156.0,9153.62,31.3,27.3,47.4,Rabi,0,1,101.59,453.8,3537,180,1450,-1294.0,0,Barley
2025-01-05,Brinjal,Tamil Nadu,Coimbatore,165.06,8683.51,22.6,26.4,43.8,Rabi,0,1,102.33,387.7,5000,5,1315,-1149.94,0,Chickpea
2025-06-16,Maize,Tamil Nadu,Madurai,193.09,7452.74,40.3,92.7,68.1,Summer,0,0,102.69,452.1,4096,180,1217,-1023.91,0,Cucumber
2025-06-20,Potato,Karnataka,Hassan,191.25,9357.91,39.4,41.6,76.8,Summer,0,0,88.13,357.7,5000,60,1851,-1659.75,0,Cucumber
2025-02-04,Potato,Karnataka,Tumakuru,341.59,6554.73,22.9,14.9,38.0,Rabi,0,0,89.61,387.9,5000,60,1640,-1298.41,0,Mustard
2024-07-10,Wheat,Telangana,Karimnagar,47.83,22689.82,33.3,175.4,75.8,Kharif,0,0,98.54,367.2,500,365,2712,-2664.17,0,Maize
2024-11-19,Chilli,Maharashtra,Pune,7.27,35128.7,27.3,30.6,58.5,Rabi,0,0,103.8,469.3,2152,180,983,-975.73,0,Mustard
2024-08-10,Onion,Telangana,Khammam,72.67,12235.95,31.4,186.9,57.4,Kharif,0,0,108.56,431.6,5000,30,1174,-1101.33,0,Maize
2025-05-22,Onion,Telangana,Hyderabad,99.95,12204.68,42.6,10.8,34.3,Summer,0,0,101.43,439.5,5000,30,1626,-1526.05,0,Cucumber
2024-12-30,Turmeric,Karnataka,Hassan,72.62,12289.13,22.2,27.2,36.4,Rabi,0,0,99.55,432.2,3628,365,1223,-1150.38,0,Mustard
2025-01-25,Turmeric,Andhra Pradesh,Guntur,164.23,8180.78,29.7,22.0,31.5,Rabi,0,0,101.93,462.4,4072,365,1182,-1017.77,0,Barley
2025-01-02,Turmeric,Maharashtra,Pune,67.39,12719.29,22.7,8.5,51.4,Rabi,0,0,97.04,435.2,4388,365,1223,-1155.61,0,Wheat
2025-06-27,Cabbage,Tamil Nadu,Salem,110.62,9648.56,39.5,96.3,81.7,Summer,0,0,90.1,391.5,5000,7,1144,-1033.38,1,Cucumber
2024-06-04,Chilli,Karnataka,Tumakuru,128.03,8385.54,38.3,175.3,63.7,Summer,0,0,90.11,337.5,2525,180,999,-870.97,0,Watermelon
2025-01-01,Brinjal,Maharashtra,Solapur,161.56,9236.15,27.1,19.9,64.6,Rabi,0,0,91.0,401.1,5000,5,1521,-1359.44,0,Chickpea
2024-09-21,Maize,Telangana,Karimnagar,34.11,17766.0,37.7,198.4,60.1,Kharif,0,0,90.29,401.2,4397,180,1191,-1156.89,0,Rice
